NewHash(v1.58),BaseHash
2D3CDDF3FE35FCA6,397DC58FF00298D1
3FDE5764A07BA515,50CAD495A460B305
A9E699D3DC7C0B15,9DE986FC9A87C474
0E40F846A70BA3EC,37039302F4E0A008
0809D748691DCA79,DC3A310219E5DA62
4A1EA713628C49D4,D796CB5BA8F20E32
106C9EE9D83F20DF,1A24A179F9B31654
460FFCEC183339C6,388EB2B86C73B6B3
F453DE81BDFDAE6F,579CCED0265D4896
8C992447292D600F,B124B57F571D8F18
4FFBF2C0D8249E45,EEE6EACBE8874FBA
23555349EF1F5EBE,8ABE8608576D9CE3
D12EFCAB87804BED,2FFB6B224F4B2926
C4EAB25A108C2429,313CE5879CEB6FCD
0F92AFFDE5783870,298B91AE825E5705
2700C00F82C16BF0,A40CC53DF8E50837
A1087A6350CD9244,41BD2A6B006AF756
20E4972CBF3DBE1B,1077788E268557C2
9418088815C89D59,5F92A689A06620AA
B1D84E0EF6979085,D8F66A3A60C62153
92039F20B184AB4D,2902843FCD2B2D79
49E701A18D345B0E,46E571A0E20D01F1
DD50B5A22807BAD4,2910669969E9535E
F6FBA55B09506B23,A711568EEDB43069
58FDF0B505AA2260,0991549DE4D64762
F4AD75B2D964D8AB,AB935175B22E822B
3A8B0F5B0E3DE13A,01BF60A500E28887
F8B8A6EDAA31F196,B60FEBA45333D36F
C1F83F3B5F8E7D3B,76B02E21ED27A469
21F2B09183F31D02,3E9B2F01C50DF595
7157B1051528D729,3364AA97340CA215
72FEF2581032D369,5D10B3795F3FC886
0843570206F71F38,ADA24309FE08DACF
10490C0971778A41,C7B4D79B01FA7A5C
6B01934FA503547F,24FB80D107371267
DC0B8C11C11AE5C2,2302C0264EA58D31
90F6E2F6488B98BA,18A47D074708FD68
F2D8DACFAEBD9629,BFFEAB45A9A9094A
531055A66E7A812C,AE3CBE5BF394C9C9
E35A17754E4A9BBB,F9C812CD7C46E817
D487B8E9C523DEFD,B24F0944DA203D9E
BA5B5030B7954DAA,810E8431C0614BF9
651232F0FBBD6C7F,3C5FD37B5499582E
E894C3F21E583743,39BE7CEA8D9CC8E6
349E25EA131C0E2A,A65568121DF2EA26
5ACE3DE15EF4A616,E2A99A9B524BEFFF
8142A6539DDC180F,FC8202EFC642E6F2
AF76A37C80EFD1D8,6EB5F71AA68F2E8E
A50CED7FB6E38751,7D2708796355B20B
EC548B5E95E61DF6,B736A491E64A32CF
2F046C9381D8E91B,7C9C91AB74A0360F
E8BBC6CC2C60F24A,D8515F5FEA14CB3F
578727D52EACADA6,28477EC23D892089
FBBD8F124403B0F5,45FF974EEE1C8734
853FFA3D0A54864F,800DD4721A8B008B
BBF86885619695CE,8E2530AA8ADA980E
E987EFB3B3FAB187,406137F8EF90EAF5
